phase,frequency,time,adcvalue
0,80500,0,0
90,80500,10,674.85
90,80500,20,669.83
90,80500,30,685.14
90,80500,40,678.35
90,80500,50,674.4
90,80500,60,666.16
90,80500,70,666.01
90,80500,80,670.85
90,80500,90,669.47
90.00,80500,100,664.8
90.00,80500,110,665.28
90.00,80500,120,661.39
90.00,80500,130,668.31
90.00,80500,140,657.72
90.00,80500,150,663.13
90.00,80500,160,666.34
90.00,80500,170,658.15
90.00,80500,180,672.86
90.00,80500,190,675.71
90.00,80500,200,667.79
90.00,80500,210,648.59
90.00,80500,220,649.57
90.00,80500,230,651.78
90.00,80500,240,652.89
90.00,80500,250,654.2
90.00,80500,260,653.11
90.00,80500,270,645.43
90.00,80500,280,643.52
90.00,80500,290,642.14
90.00,80500,300,651.41
90.00,80500,310,648.92
90.00,80500,320,645.05
90.00,80500,330,642.88
90.00,80500,340,646.93
90.00,80500,350,641.84
90.00,80500,360,645.32
90.00,80500,370,645.94
90.00,80500,380,647.81
90.00,80500,390,647.07
90.00,80500,400,645.49
90.00,80500,410,647.47
90.00,80500,420,646.13
90.00,80500,430,651.77
90.00,80500,440,649.25
90.00,80500,450,654.17
90.00,80500,460,651.89
90.00,80500,470,655.02
90.00,80500,480,656.52
90.00,80500,490,651.5
90.00,80500,500,654.68
90.00,80500,510,657.4
90.00,80500,520,657.64
90.00,80500,530,653.12
90.00,80500,540,656.04
90.00,80500,550,651.76
90.00,80500,560,652.58
90.00,80500,570,659.02
90.00,80500,580,652.64
90.00,80500,590,651.76
90.00,80500,600,650.16
90.00,80500,610,653.35
90.00,80500,620,649.7
90.00,80500,630,646.34
90.00,80500,640,644.52
90.00,80500,650,640.41
90.00,80500,660,644.89
90.00,80500,670,644.69
90.00,80500,680,647.4
90.00,80500,690,646.13
90.00,80500,700,644.19
90.00,80500,710,636.44
90.00,80500,720,633.92
90.00,80500,730,639.75
90.00,80500,740,644.52
90.00,80500,750,644.35
90.00,80500,760,646.76
90.00,80500,770,645.77
90.00,80500,780,640.52
90.00,80500,790,640.96
90.00,80500,800,641
90.00,80500,810,640.7
90.00,80500,820,642.79
90.00,80500,830,640.25
90.00,80500,840,639.42
90.00,80500,850,639.64
90.00,80500,860,640.27
90.00,80500,870,640.63
90.00,80500,880,641.57
90.00,80500,890,637.42
90.00,80500,900,640.67
90.00,80500,910,636.12
90.00,80500,920,640.56
90.00,80500,930,642.78
90.00,80500,940,642.98
90.00,80500,950,642.39
90.00,80500,960,635.37
90.00,80500,970,640.49
90.00,80500,980,635.5
90.00,80500,990,641.71
90.00,80500,1000,639.55
90.00,80500,1010,638.44
90.00,80500,1020,639.25
90.00,80500,1030,646.6
90.00,80500,1040,642.42
90.00,80500,1050,643.25
90.00,80500,1060,648.17
90.00,80500,1070,643.47
90.00,80500,1080,646.98
90.00,80500,1090,642.15
90.00,80500,1100,642.62
90.00,80500,1110,643.57
90.00,80500,1120,648.2
90.00,80500,1130,649.23
90.00,80500,1140,641.14
90.00,80500,1150,641.32
90.00,80500,1160,643.76
90.00,80500,1170,647.61
90.00,80500,1180,641.3
90.00,80500,1190,644.06
90.00,80500,1200,650.37
90.00,80500,1210,646.09
90.00,80500,1220,647.22
90.00,80500,1230,648.84
90.00,80500,1240,644.74
90.00,80500,1250,647.1
90.00,80500,1260,640.95
90.00,80500,1270,640.69
90.00,80500,1280,643.09
90.00,80500,1290,642.4
